Article_ID,age_in_years,army,cause_of_death,children,education_institution,educ_level,family_roles,gender,occupation_phrase,origin,place_lived_last,religion
428121844,True,True,True,True,True,True,True,True,True,True,True,True
2499267209,True,True,True,True,True,True,True,True,True,True,True,True
2214841452,True,False,True,True,True,True,True,True,True,True,True,True
430466908,True,True,True,True,True,True,True,True,True,True,True,True
2222555725,True,True,True,True,True,True,True,True,True,True,True,True
428117048,True,True,True,True,True,True,True,True,True,True,True,True
433930035,True,True,True,True,True,True,False,True,True,True,True,True
1930264076,True,True,True,True,False,True,True,True,True,True,True,True
2713017945,True,True,True,True,True,True,True,True,True,True,True,False
1876290745,True,True,True,True,True,True,True,True,True,True,True,True
2797114819,True,True,True,True,True,True,True,True,True,True,True,True
2222968079,True,True,True,True,True,True,True,True,True,True,True,True
427233888,True,True,True,True,True,False,True,True,True,True,True,True
431974002,True,True,True,True,True,False,True,True,True,True,True,True
1845882656,True,True,True,True,True,True,True,True,False,True,True,True
2233643433,True,True,True,True,False,False,True,True,True,True,True,True
429891999,True,True,True,True,True,True,True,True,True,True,True,True
423951965,True,True,True,True,True,False,True,True,True,True,True,False
1509385823,True,True,False,True,True,False,True,True,True,True,True,False
431192229,True,True,True,True,True,True,False,True,True,True,True,False
2350209197,True,True,False,True,True,True,True,True,False,True,True,True
430546009,True,True,False,True,True,True,True,True,True,True,True,True
432497015,True,True,True,True,True,False,True,True,False,True,True,True
427932542,True,True,True,True,True,True,True,True,True,True,True,True
2235794709,True,True,True,True,True,False,True,True,True,True,True,True
2548447425,True,True,True,True,True,True,True,True,True,True,True,True
432822685,True,True,True,True,True,True,True,True,True,True,True,True
424043834,True,True,True,True,True,True,True,True,True,True,True,False
425151853,True,True,True,True,True,True,True,True,True,False,True,False
429860330,True,True,True,True,True,False,True,True,True,True,True,True
2627204798,True,True,True,True,True,False,True,True,True,True,True,True
2559302868,True,True,True,True,True,True,True,True,True,True,True,True
2221440993,True,True,True,True,True,False,True,True,True,True,True,False
428116377,True,True,True,True,True,True,True,True,True,True,True,True
431488438,True,True,True,True,True,True,True,True,True,True,True,True
431075885,True,True,True,True,True,True,True,True,True,True,True,True
2808069282,True,True,True,True,True,True,True,True,True,True,True,True
430601471,True,True,True,True,True,True,True,True,True,True,True,True
425953762,True,True,False,True,True,True,True,True,True,False,True,True
432969979,True,True,True,True,True,True,True,True,False,True,True,True
429770182,True,True,True,True,True,True,True,True,False,True,True,True
2058030653,True,True,True,True,False,True,True,True,True,True,True,True
2230134088,True,True,True,True,True,True,False,True,True,False,True,True
430176449,True,True,True,True,True,True,False,True,True,True,True,True
433353609,True,True,True,True,True,True,True,True,False,True,True,True
2595849276,True,True,True,True,True,True,True,True,True,True,True,False
424039876,True,True,True,True,True,True,True,True,True,False,True,True
431315658,True,True,True,True,True,True,True,True,True,True,True,True
2212940963,True,True,True,True,True,True,True,True,True,True,False,True
430539794,True,True,True,True,True,True,True,True,True,False,True,True
424682013,True,True,True,True,True,True,True,True,True,False,True,True
429134148,True,True,True,True,True,True,True,True,True,False,True,True
2216794036,True,True,True,True,True,True,True,True,True,True,True,True
428746458,True,True,True,True,True,True,True,True,True,True,True,True
432161370,True,True,True,True,True,True,True,True,True,True,True,True
424077858,False,True,True,True,True,True,True,True,True,True,True,True
432196616,True,True,True,True,False,True,True,True,True,False,True,False
2414436087,True,True,True,True,True,True,True,True,True,True,True,False
425804867,True,True,True,True,True,True,True,True,True,True,True,True
427738849,True,True,True,True,True,True,True,True,True,False,True,True
427365875,True,True,True,True,True,True,True,True,True,True,False,True
426921692,True,True,True,True,True,True,True,True,True,True,True,True
2900158171,True,True,True,True,True,True,True,True,True,False,True,True
428842451,True,True,True,True,True,True,True,True,True,True,True,True
2455678477,True,True,True,True,True,True,True,True,True,True,True,True
430791944,True,True,True,True,True,True,True,True,True,False,True,True
1269606301,True,True,True,True,True,True,True,True,True,True,True,True
431972430,True,True,True,True,True,True,True,True,True,True,True,False
425280217,True,True,True,True,True,True,True,True,True,True,True,True
424629957,True,True,True,True,True,True,True,True,True,False,True,True
423978913,True,False,True,True,True,True,True,True,True,True,False,True
425878519,True,True,True,True,True,True,False,True,True,True,True,True
2666230132,True,True,True,True,True,True,True,True,True,True,True,True
2401465633,True,True,True,True,True,True,True,True,True,True,True,True
433214159,True,True,True,True,True,True,True,True,True,True,True,True
424353094,True,True,True,True,True,True,True,True,True,False,False,True
2227395902,True,True,True,True,True,False,False,True,True,True,True,True
427965936,True,True,True,True,True,True,True,True,True,True,True,False
2478195088,True,True,True,False,True,False,False,True,True,True,True,False
2571367579,True,True,True,False,True,False,True,True,True,True,False,True
2848070527,True,True,True,True,True,True,True,True,True,True,True,False
424491226,True,True,True,True,True,True,True,True,True,True,True,True
426580748,True,True,True,True,True,True,True,True,True,True,True,True
2393824025,True,True,True,True,True,True,True,True,True,False,True,False
2225578898,True,True,False,True,True,True,True,True,True,False,True,True
432991784,True,True,True,True,True,True,True,True,True,True,False,True
2229248599,True,True,True,True,True,True,True,True,True,True,True,True
430008436,True,True,True,True,True,True,False,True,False,False,True,True
2218410586,True,True,True,True,True,True,True,True,True,True,True,True
433564830,True,True,True,True,True,True,True,True,True,True,True,True
426888997,True,True,True,True,True,True,True,True,True,True,True,True
430819763,True,True,True,True,False,False,True,True,True,False,True,True
425419391,True,True,True,True,True,True,True,True,True,True,True,False
1411450418,True,True,True,True,True,True,True,True,True,True,True,True
425331029,True,True,True,True,True,True,True,True,True,True,True,True
2767687985,True,True,True,True,True,True,True,True,True,True,True,True
424613141,True,True,True,True,True,True,True,True,True,True,True,True
428555415,True,True,True,False,True,True,True,True,True,True,False,True
2223823397,True,True,True,True,True,True,True,True,True,True,True,True
1674151405,True,True,True,True,True,True,True,True,False,False,True,True
431066099,True,True,True,True,True,True,True,True,True,True,True,True
2231313008,True,True,True,True,True,True,True,True,True,True,True,False
2429065890,True,True,True,True,True,True,False,True,True,True,False,True
427008334,True,True,True,True,True,True,True,True,True,False,True,True
424932560,True,True,True,True,False,True,True,True,True,True,True,True
426335787,True,True,True,True,True,True,True,True,True,True,True,True
425135739,True,True,True,True,True,True,True,True,True,True,True,True
1334992525,True,True,True,True,True,False,True,True,False,True,True,True
424016744,True,True,True,True,True,True,True,True,False,False,True,True
425458156,True,True,True,True,True,True,True,True,True,False,True,True
423960372,True,True,True,True,True,True,True,True,True,True,True,True
432129282,True,True,True,True,True,True,True,True,True,True,True,True
